Year	Sample	Keyword	Score	Sample	Keyword	Score
0.1_percent	2020	coronavirus	49.3189	1_percent	coronavirus	47.8344
0.1_percent	2020	covid	48.1088	1_percent	covid	43.7526
0.1_percent	2020	covid-19	31.2713	1_percent	covid-19	31.4018
0.1_percent	2020	pandemic	31.1226	1_percent	pandemic	30.2252
0.1_percent	2020	lockdown	17.5963	1_percent	lockdown	18.5407
0.1_percent	2020	virus	14.8978	1_percent	virus	15.1561
0.1_percent	2020	trump	14.1187	1_percent	corona	12.4957
0.1_percent	2020	corona	11.7353	1_percent	trump	12.3955
0.1_percent	2020	china	11.0297	1_percent	ðÿ	11.3278
0.1_percent	2020	mask	9.7282	1_percent	china	11.2935
0.1_percent	2020	deaths	9.6371	1_percent	mask	9.4525
0.1_percent	2020	outbreak	9.2657	1_percent	deaths	9.4048
0.1_percent	2020	cases	9.0322	1_percent	outbreak	9.279
0.1_percent	2020	wuhan	9.0195	1_percent	cases	8.92
0.1_percent	2020	distancing	8.1524	1_percent	wuhan	8.7924
0.1_percent	2020	vaccine	7.3993	1_percent	distancing	8.2681
0.1_percent	2020	ðÿ	7.3922	1_percent	vaccine	7.1808
0.1_percent	2020	masks	7.2899	1_percent	masks	7.1558
0.1_percent	2020	covid19	6.3245	1_percent	covid19	5.8679
0.1_percent	2020	wear	5.8142	1_percent	wear	5.6256
0.1_percent	2020	cdc	5.6909	1_percent	spread	5.59
0.1_percent	2020	spread	5.6687	1_percent	cdc	5.5681
0.1_percent	2020	tested	5.1223	1_percent	stay	5.1509
0.1_percent	2020	americans	5.0083	1_percent	novel	5.0137
0.1_percent	2020	stay	4.9743	1_percent	tested	4.7127
0.1_percent	2020	positive	4.6417	1_percent	flu	4.5432
0.1_percent	2020	chinese	4.4667	1_percent	chinese	4.4625
0.1_percent	2020	breaking	4.4593	1_percent	positive	4.4586
0.1_percent	2020	infected	4.3873	1_percent	infected	4.4415
0.1_percent	2020	flu	4.3512	1_percent	americans	4.351
0.1_percent	2020	govt	4.3065	1_percent	confirmed	4.1772
0.1_percent	2020	confirmed	4.2659	1_percent	govt	4.1099
0.1_percent	2020	trump''s	4.2063	1_percent	quarantine	3.9618
0.1_percent	2020	testing	4.1028	1_percent	epidemic	3.8647
0.1_percent	2020	mainland	4.0355	1_percent	mainland	3.861
0.1_percent	2020	biden	3.9269	1_percent	crisis	3.7867
0.1_percent	2020	china''s	3.9216	1_percent	via	3.7457
0.1_percent	2020	quarantine	3.9157	1_percent	testing	3.7265
0.1_percent	2020	novel	3.907	1_percent	â	3.6563
0.1_percent	2020	crisis	3.8375	1_percent	biden	3.5929
0.1_percent	2020	exams	3.7398	1_percent	breaking	3.4789
0.1_percent	2020	epidemic	3.7152	1_percent	hubei	3.4527
